,English,German,Arabic
2185,We always walk by the post office on the way to work.,Wir gehen immer an der Post auf dem Weg zur Arbeit vorbei.,نمرّ دائمًا بجانب مكتب البريد في طريقنا إلى العمل.
2186,It may rain tonight.,Es könnte heute Abend regnen.,ربما ستمطر الليلة.
2187,at our recent summit in colombo sri lanka we asked members of our community what motivates them to participate in global voices among values like understanding diversity acceptance fairness respect inclusiveness and curiosity one that stood out for us was messiness.,"auf unserem jüngsten Gipfel in colombo sri lanka haben wir Mitglieder unserer Gemeinschaft gefragt, was sie dazu motiviert, an globalen Stimmen unter Werten wie Verständnis der Vielfalt Akzeptanz Fairness Respekt Inklusion und Neugier zu beteiligen, die für uns herausragten, war Unordnung.",في الموتمر الذي عقدناه موخرا في كولومبو سالنا اعضاء مجتمعنا عما دفعهم للمشاركة في الاصوات العالمية ومن بين العديد من القيم التي جاووا على ذكرها كالتفاهم والتنوع والقبول والانصاف والاحترام والشمولية وحب الاستطلاع برزت قيمة اخرى وهي العشوايية
2188,The best hairdressers are gay.,Die besten Friseure sind schwul.,أحسن مصففي الشعر مثليو الجنس
2189,I'm afraid Tom doesn't want to talk to you.,"Ich fürchte, Tom will nicht mit dir reden.",أخشى أن توم لا يريد التحدث معك.
2190,He told me he would go to Venice.,"Er sagte mir, er würde nach Venedig gehen.",أخبرني أنه سيذهب إلى فينس.
2191,Please call me up if you want me.,"Bitte ruf mich an, wenn du mich willst.",أرجو أن تتصل بي إن أردتني.
2192,Can I talk to you a moment?,Kann ich dich kurz sprechen?,هل يمكنني ان اتكلم معك للحظة؟
2193,I don't agree with him.,Ich stimme ihm nicht zu.,لا أوافقه.
2194,You look like your father.,Du siehst aus wie dein Vater.,أنت تشبه والدك.
2195,"If I get rich, I will buy it.","Wenn ich reich werde, kaufe ich es.","أنا لو أصبحت غنياً, سوف أشتريه."
2196,on execution this link opens a page file which allegedly contains names and personal information about people who are wanted by the assad regime for their involvement in the opposition movement the file is shown in the screenshot below.,"bei der Ausführung öffnet dieser Link eine Seitendatei, die angeblich Namen und persönliche Informationen über Personen enthält, die vom Assad-Regime für ihre Beteiligung an der Oppositionsbewegung gesucht werden, die Datei ist in der Abbildung unten dargestellt.",عند التنفيذ فان هذا الملف يفتح كملف مكون من صفحة والذي يزعم انه يحتوي اسماء ومعلومات شخصية عن اشخاص مطلوبون من نظام الاسد لتورطهم في حركة المعارضة يظهر الملف في الصورة ادناه
2197,The hard work begins now.,Die harte Arbeit beginnt jetzt.,العمل الصعب يبدأ الآن.
2198,pambazuka org published a letter fr from players addressed to the president of fifa joseph s blatter.,pambazuka org veröffentlichte einen Brief fr von Spielern an den Präsidenten der fifa joseph s blatter.,قام موقع بامبازوكا بنشر رسالة بالفرنسية موجهة من اللاعبين الى رييس الفيفا جوزيف بلاتر
2199,Atlantis was destroyed.,Atlantis wurde zerstört.,دُمِّرَتْ اطلانتس.
2200,I want to go to America someday.,Ich will eines Tages nach Amerika.,أريد أن أذهب إلى أمريكا في يوم من الأيام.
2201,Tom realized that he had fallen in love with Mary.,"Tom erkannte, dass er sich in Maria verliebt hatte.",أتضح لتوم أنه وقع في حبّ ماري.
2202,His car turned over several times before falling into the river.,"Sein Auto drehte sich mehrere Male um, bevor er in den Fluss fiel.",انقلبت سيارته عدة مرات قبل سقوطها في النهر.
2203,Can Tom really swim faster than you?,Kann Tom wirklich schneller schwimmen als du?,أيمكنه توم حقا السباحة أسرع منك؟
2204,She decided to resign.,"Sie beschloss, zurückzutreten.",قررت أن تستقيل.
2205,That's my dictionary.,Das ist mein Wörterbuch.,ذاك قاموسي.
2206,He looks very good.,Er sieht sehr gut aus.,إنهُ يبدو بحالة جيداً جداً.
2207,How is everyone?,Wie geht es allen?,كيف حال الجميع؟
2208,Tom can't decide whether to buy a new computer now or wait for a couple of more months.,"Tom kann sich nicht entscheiden, ob er jetzt einen neuen Computer kaufen oder noch ein paar Monate warten soll.",لا يستطيع توم أن يقرر هل يشتري حاسوبًا جديدًا الآن أم ينتظر بضعة أشهر.
2209,to apply please visit the submit a proposal page where you will find short questions that will enable you to outline your project plans please note that there is a character limit for each answer not word limit.,"Bitte besuchen Sie die Seite, auf der Sie einen Antrag einreichen können, auf der Sie kurze Fragen finden, mit denen Sie Ihre Projektpläne beschreiben können. Bitte beachten Sie, dass für jede Antwort ein Zeichenlimit und nicht ein Wortlimit gilt.",للتقدم برجاء زيارة صفحة تقديم مقترح حيث يمكنكم ايجاد اسيلة قصيرة تمكنكم من رسم الخطوط العريضة لمخططات مشروعكم برجاء العلم انه يوجد حد لعدد الحروف لكل اجابة وليس حد للكلمات
2210,He is talking on the phone.,Er spricht am Telefon.,إنهُ يتحدث على الهاتف.
2211,My father drives to work.,Mein Vater fährt zur Arbeit.,يقود أبي السيارة إلى عمله.
2212,One failure followed another.,Ein Versagen folgte dem anderen.,فشل تلو الآخر.
2213,I don't know where my ski gloves are.,"Ich weiß nicht, wo meine Skihandschuhe sind.",لا أعرف أين توجد قفازات التزلج الخاصة بي.
2214,Cats are very clean animals.,Katzen sind sehr saubere Tiere.,القطط حيوانات في غاية النظافة.
2215,He is concerned about his father's illness.,Er macht sich Sorgen um die Krankheit seines Vaters.,إنه قلق بسبب مرض والده.
2216,My heart was filled with happiness.,Mein Herz war voller Glück.,امتلأ قلبي فرحاً.
2217,We are facing a violent crisis.,Wir stehen vor einer gewaltsamen Krise.,نحن بصدد كارثة عنيفة.
2218,Everything was fine until Tom started drinking.,"Alles war in Ordnung, bis Tom anfing zu trinken.",كل شيء كان على ما يرام حتى بدأ توم الشرب.
2219,the egyptian independent media collective mosireen has successfully concluded their crowdfunding campaign the activists collected usd out of the usd they were aiming at.,"das ägyptische unabhängige Medienkollektiv mosireen hat ihre Crowdfunding-Kampagne erfolgreich abgeschlossen, die die Aktivisten aus dem usd gesammelt haben, auf den sie abzielten.",حققت المبادرة الاعلامية المصرية المستقلة مصرين هدفها في حملتها لجمع التمويل حيث جمع النشطاء من اصل الف التي كانت الهدف
2220,I appreciate your help.,Ich weiß Ihre Hilfe zu schätzen.,أُقَدِّر مساعدتك.
2221,Tom turned the faucet off.,Tom schaltete den Wasserhahn ab.,توم أغلق الصنبور
2222,I couldn't catch on to the joke he told us.,"Ich konnte den Witz, den er uns erzählt hat, nicht verstehen.",لم أفهم الطرفة التي قصها علينا.
2223,Why is that wrong?,Warum ist das falsch?,لماذا هذا خطأ؟
2224,"In Venice, there are always lots of tourists.",In Venedig gibt es immer viele Touristen.,"في البندقية , دائما هنالك الكثير من السياح ."
2225,"I like dogs, but my sister likes cats.","Ich mag Hunde, aber meine Schwester mag Katzen.","أنا أُحب الكلاب, ولكن أُختي تحب القطط."
2226,That's what happened here on Monday.,Das ist hier am Montag passiert.,هذا ما حدث هنا يوم الإثنين.
2227,Do you think Tom saw Mary?,"Glaubst du, Tom hat Maria gesehen?",أتظنّ أنّ توم رأى ماري؟
2228,Tom smiled.,Tom lächelte.,توم إبتسم.
2229,adrividales es it seems that king of belgium will abdicate due to tax offenses by relatives and women troubles it s kind of hard to me not to make comparisons.,"adrividales es scheint, dass König von Belgium wird abdanken wegen Steuervergehen von Verwandten und Frauen stört es irgendwie schwer für mich, keine Vergleiche zu machen.",يبدو ان ملك بلجيكا سيتنازل عن العرش بسبب جرايم التهرب من الضرايب التي تورط بها اقاربه و متاعب النساء يصعب علي نوعا ما الا اعقد المقارنات بين بلجيكا واسبانيا
2230,this post is part of our special coverage syria protests.,Dieser Beitrag ist Teil unserer Sonderberichterstattung Syria Proteste.,هذا المقال جزء من تغطيتنا الخاصة لثورة سوريا
2231,this post is part of our special coverage europe in crisis.,Dieser Beitrag ist Teil unserer Sonderberichterstattung Europa in der Krise.,هذا المقال جزء من تغطيتنا الخاصة اوروبا في ازمة
2232,however the move triggered zh an outpouring of pessimistic response on the popular chinese microblogging site sina weibo many worried that it would a rise in the price of train tickets one web user su qun wrote zh.,"jedoch löste die Bewegung zh eine Ausgießung der pessimistischen Reaktion auf der populären chinesischen Microblogging-Website sina weibo viele besorgt, dass es eine Erhöhung des Preises der Zugtickets ein Web-Benutzer su qun schrieb zh.",لكن اثارت التغييرات ذيوع ردود متشايمة على موقع التغريد الصيني سينا ويبو وعبر الكثير عن مخاوفهم من ارتفاع اسعار تذاكر القطارات وكتب المستخدم سوتشن على شبكة ويبو
2233,Don't avoid my question.,Vermeiden Sie meine Frage nicht.,لا تتهرّب من سؤالي.
2234,Now let's begin the game.,Fangen wir jetzt mit dem Spiel an.,هيا لنبدأ اللعب الآن.
2235,Tom has called me many times this past week.,Tom hat mich in der vergangenen Woche viele Male angerufen.,اتصل بي توم مرات كثيرة الأسبوع الماضي.
2236,Japanese tourists can be found everywhere.,Japanische Touristen können überall gefunden werden.,يمكن ايجاد السياح اليابانيين في كل مكان .
2237,as a graduate of the the institution myself it is funny looking back years at a time when education actually mattered in jordan.,"als Absolvent der Institution selbst ist es lustig, Jahre zurück zu schauen, in einer Zeit, in der Bildung tatsächlich in jordan zählte.",كخريجة من الجامعة من الطريف العودة عام للوراء للمشاهدة في وقت كان التعليم فعلا امر مهم في الاردن
2238,"Mom wants to go there, but Dad wants to watch TV at home.","Mom will dorthin, aber Dad will zu Hause fernsehen.","أُمي تريد أن تذهب هناك, ولكن أبي يريد أن يشاهد التليفزيون."
